902/921,920,901,status,main_number,cd,number,[HL]GPレンズ検索シート,brand_name,color_name,wearing_period,price,pcs,maxpower,dia,g_dia,bc,water_content,kinou,spec,obj_color,bandle,/Users/asano/Desktop/data_sample/Links/,lens_gazou,kurome_gazou,chame_gazou,sample_image,lens_image,black_eyes,brown_eyes,/Users/asano/マイドライブ（yuuki-asano@hotelovers.co.jp）/【※フォルダ名編集禁止】109販促画像格納/1day,/Users/asano/Desktop/data/Links/,power,bandle_siji,QUIZ_E&J,QUIZ_Cc,comment,delete_comment,cc_main_number,cc_brand_name,cc_color_name,cc_brandxcolor,cc_wearing_period,cc,cc_dia,cc_g_dia,cc_okasan,cc_seisa
単語帳OK,着画含めてOK,最終ステータス,販売ステータス,元品番,カラーCD,品番,PB,ブランド名（カナ）,カラー名（カナ）,装用期間（英語）,上代（税込）,入数,最大度数,DIA（半角英数）,G・DIA（半角英数）,BC（半角英数）,含水率,レンズ機能,レンズ機能2,メイン背景色,バンドル画像,サムネ画像,レンズ画像,装用画像（黒目）,装用画像（茶目）,使用しないサムネ画像,使用しないレンズ画像,使用しない黒目画像,使用しない茶目画像,サムネマスター,レンズマスター,度なし（±0.00）,バンドル,元品番＋カラー名,カラーカテゴリ（AS列から持ってきた）,コメント（列幅からはみ出ないように）幅290,使用しないコメント,CC元品番,CCブランド名（カナ）,カラー名（カナ）,品番＋カラー名,装用期間（英語）,カラーカテゴリ(CC),DIA,着色直径,岡田精査,精査済みフラグ
TRUE,TRUE,OK,-,ECL0082,ckp,1,PB,アイクローゼット,ちびこっぺぱん,1day,"1,760",10,-8,14,13.2,8.7,47,"モイスト,UVカット,シリコーンハイドロゲル素材,8","モイスト,UVカット,シリコーンハイドロゲル素材",#d489ab,/Users/asano/Desktop/data_sample/Links/bundle_pb_oneday.jpg,https://drive.google.com/file/d/1Lh51p9KKnpm3QN3Yc38jPDhBgIVZbnv4/view?usp=drivesdk,https://drive.google.com/file/d/1SB2AGjkUaW_1UD8839JXuitmzsueKa_-/view?usp=drivesdk,https://drive.google.com/drive/folders/1ZScLvPeWvQe8nJ0FIJYu7K4onGV7YY_V,https://drive.google.com/drive/folders/1sUEfHDsyliGwmdLImozMUGnkSbrdJDbI,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ちびこっぺぱん/thumbnail.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ちびこっぺぱん/lens.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ちびこっぺぱん/黒目/black.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ちびこっぺぱん/茶目/brown.jpg,https://static.growthpalette.com/img/post/bddeabd4-92b5-4c9c-8513-d65ca798db6c/b90e8c970d948a46ff312c3a6cefe730.jpg,https://static.growthpalette.com/img/post/6fa69531-d046-42ac-886b-39d01145b7c9/0aa8123a56f05eedbdcd342bf8ffc249.jpg,度なし（±0.00）〜8.00,3箱_背景ピンク,ECL0082ちびこっぺぱん,"ブラウン,ベージュ",使いやすすぎる万能細フチ茶コン！,使いやすすぎる万能細フチ茶コン！,ECL0002,アイクローゼット,ガウスショコラ,ECL0002ガウスショコラ,1day,ブラウン,14.5mm,13.8mm,ブラウン,1
TRUE,TRUE,OK,-,ECL0083,ckp,101,PB,アイクローゼット,ちびこっぺぱん,1month,"1,980",2,-8,14,13.2,8.7,47,"モイスト,UVカット,シリコーンハイドロゲル素材,8","モイスト,UVカット,シリコーンハイドロゲル素材",#8eb3c8,/Users/asano/Desktop/data_sample/Links/bundle_pb_monthly.jpg,https://drive.google.com/file/d/1oWzXLzEZIpRNOawUs0sXbwFqVx41ubc6/view?usp=drivesdk,https://drive.google.com/file/d/15t-QtrzSRgXn5Ceg0WNB_tvep6jw9Son/view?usp=drivesdk,https://drive.google.com/drive/folders/1Y72K5HXT9tQBnm6TXETxSiB0mg26BsB2,https://drive.google.com/drive/folders/1B4UPo4w4fhvzDuayLO4LsnVUVaXppNp3,/Users/asano/Desktop/data/Links/1month/アイクローゼット/ちびこっぺぱん/thumbnail.jpg,/Users/asano/Desktop/data/Links/1month/アイクローゼット/ちびこっぺぱん/lens.jpg,/Users/asano/Desktop/data/Links/1month/アイクローゼット/ちびこっぺぱん/黒目/black.jpg,/Users/asano/Desktop/data/Links/1month/アイクローゼット/ちびこっぺぱん/茶目/brown.jpg,https://static.growthpalette.com/img/post/ae919f09-8ad9-4e73-84f2-ad050f8f82f0/3218b64c07d1cd646cb38ce715fbe188.jpg,https://static.growthpalette.com/img/post/b14e4de7-83cd-473c-a07c-c18c6496abca/0aa8123a56f05eedbdcd342bf8ffc249.jpg,度なし（±0.00）〜8.00,2箱_背景が水色,ECL0083ちびこっぺぱん,"ブラウン,ベージュ",使いやすすぎる万能細フチ茶コン！,-,ECL0001,アイクローゼット,ガウスショコラ,ECL0001ガウスショコラ,1month,ブラウン,14.5mm,13.8mm,ブラウン,1
TRUE,TRUE,OK,-,ECL0069,asbk,201,PB,アイクローゼット,アッシュブラック,1day,"1,760",10,-8,14,13.2,8.7,47,"モイスト,UVカット,シリコーンハイドロゲル素材,8","モイスト,UVカット,シリコーンハイドロゲル素材",#d489ab,/Users/asano/Desktop/data_sample/Links/bundle_pb_oneday.jpg,https://drive.google.com/file/d/1RbX4XOX4tu3Oef5vpQ8fuZIN_8hbZZse/view?usp=drive_link,https://drive.google.com/file/d/1OPMSDq-lr9lcsti_hXR5x001oBN0yow_/view?usp=drivesdk,https://drive.google.com/drive/folders/1prLvOWLv8SUY7aG55OHNW4f8lJwSqT1v,https://drive.google.com/drive/folders/1rMzXn15DPQxhjFUfWA5sL7QgQpsajXqE,/Users/asano/Desktop/data/Links/1day/アイクローゼット/アッシュブラック/thumbnail.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/アッシュブラック/lens.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/アッシュブラック/黒目/black.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/アッシュブラック/茶目/brown.jpg,https://static.growthpalette.com/img/post/8e9f7cc5-015f-4110-b1ca-02f254b5238a/c7c5a033d09c6afb923c5e1795915611.jpg,https://static.growthpalette.com/img/post/a28706de-eef8-4d73-9264-3cf4c46ad799/f7aa2eac33246abf2aa4e696df6179c7.jpg,度なし（±0.00）〜8.00,3箱_背景ピンク,ECL0069アッシュブラック,ブラック,"小さめ透明感黒コン♡
シリコンだからつけ心地も神！",小さめ透明感黒コン♡シリコンだからつけ心地も神！,-,アイクローゼット,カミナリパープル,カミナリパープル,1day,パープル,14.5mm,13.8mm,パープル,1
TRUE,TRUE,OK,-,ECL0069,wtgr,202,PB,アイクローゼット,ウォーターグレー,1day,"1,760",10,-8,14,13.2,8.7,47,"モイスト,UVカット,シリコーンハイドロゲル素材,8","モイスト,UVカット,シリコーンハイドロゲル素材",#d489ab,/Users/asano/Desktop/data_sample/Links/bundle_pb_oneday.jpg,https://drive.google.com/file/d/1U37lzNcU93cmlXxdC7fV-aij-cKNzsay/view?usp=drive_link,https://drive.google.com/file/d/1HzQb_j2fMXTLPgohbm6J1EyPjkzkbtPl/view?usp=drivesdk,https://drive.google.com/drive/folders/1xNotmxAXTR_yB6ZO272uqBRYUF89B_P7,https://drive.google.com/drive/folders/15UZlcpdpRbsRn98gQpK9_IEc-eqB8UxQ,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ウォーターグレー/thumbnail.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ウォーターグレー/lens.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ウォーターグレー/黒目/black.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ウォーターグレー/茶目/brown.jpg,https://static.growthpalette.com/img/post/fc3defb7-49b3-44bb-a99c-6fb25a5199da/029715959a8902e42b73ae1a2211fffc.jpg,https://static.growthpalette.com/img/post/598c60b9-c5af-4463-bc9a-32fff61d9f41/55be5b6630cad8040052cfc74ed34024.jpg,度なし（±0.00）〜8.00,3箱_背景ピンク,ECL0069ウォーターグレー,グレー,"水まとってる?!ってくらい透明感爆発！
男性にもオススメ",-,ECL0002,アイクローゼット,クリアベージュ,ECL0002クリアベージュ,1day,ベージュ,14.5mm,13.8mm,ベージュ,1
TRUE,TRUE,OK,-,ECL0069,nubr,203,PB,アイクローゼット,ノーティーブラウン,1day,"1,760",10,-8,14,13.2,8.7,47,"モイスト,UVカット,シリコーンハイドロゲル素材,10","モイスト,UVカット,シリコーンハイドロゲル素材",#d489ab,/Users/asano/Desktop/data_sample/Links/bundle_pb_oneday.jpg,https://drive.google.com/file/d/1uG3ruxGkxBhHegyJmmv9eZrl-OkvdMu1/view?usp=drive_link,https://drive.google.com/file/d/1egmx8Hm6hbhWcw-9JqNheE4CcPFx6yD-/view?usp=drivesdk,https://drive.google.com/drive/folders/1C3daI41HKTW2Fa1G5tnpQGVBGVQq1BN7,https://drive.google.com/drive/folders/1SNyrkvcm6J1WScaKde9sFl7tIrxdCfmk,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ノーティーブラウン/thumbnail.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ノーティーブラウン/lens.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ノーティーブラウン/黒目/black.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ノーティーブラウン/茶目/brown.jpg,https://static.growthpalette.com/img/post/b9c67520-c698-4f50-9023-f45c05409e1a/dee832434c32094aca2809bd2902743c.jpg,https://static.growthpalette.com/img/post/13cfbca2-a773-40fa-9a60-63b749d36686/2b21ec37d8e94b062dc43f51a43936c9.jpg,度なし（±0.00）〜10.00,3箱_背景ピンク,ECL0069ノーティーブラウン,ブラウン,"シリコンでつけ心地抜群！
ナチュラルに奥目解消♡",シリコンでつけ心地抜群！ナチュラルに奥目解消♡顔が若返ったって言われた,ECL0001,アイクローゼット,クリアベージュ,ECL0001クリアベージュ,1month,ベージュ,14.5mm,13.8mm,ベージュ,1
TRUE,TRUE,OK,-,ECL0080,sgdn,301,PB,アイクローゼット,シュガードーナツ,1month,"1,980",2,-8,14.5,13.8,8.7,47,"モイスト,UVカット,シリコーンハイドロゲル素材,10","モイスト,UVカット,シリコーンハイドロゲル素材",#8eb3c8,/Users/asano/Desktop/data_sample/Links/bundle_pb_monthly.jpg,https://drive.google.com/file/d/1tld5IwmcXnwf2d62uQ7aHW8KiE06n8Ji/view?usp=drivesdk,https://drive.google.com/file/d/1tMh-x2bHA2Ues90wyOnDy-2KmXHolXMl/view?usp=drivesdk,https://drive.google.com/drive/folders/1KatXaiG6rTyXZN68kZzGJJB1KGZjTuTE,https://drive.google.com/drive/folders/1HDNvc8_s4N46ztj8vTRKKH3gjMnThyKM,/Users/asano/Desktop/data/Links/1month/アイクローゼット/シュガードーナツ/thumbnail.jpg,/Users/asano/Desktop/data/Links/1month/アイクローゼット/シュガードーナツ/lens.jpg,/Users/asano/Desktop/data/Links/1month/アイクローゼット/シュガードーナツ/黒目/black.jpg,/Users/asano/Desktop/data/Links/1month/アイクローゼット/シュガードーナツ/茶目/brown.jpg,https://static.growthpalette.com/img/post/749f721b-c41a-4172-9094-eb4f3d5aaeb2/87ee228f2a6b798b42ff1ea4b147034f.jpg,https://static.growthpalette.com/img/post/af0bec59-ae36-4423-9b69-30ca0124e703/830fd47107dd07c75857805ceca49d32.jpg,度なし（±0.00）〜10.00,2箱_背景が水色,ECL0080シュガードーナツ,ブラウン,"ナチュラルすぎず派手すぎない！
キラキラな目になれる✨️",-,ECL0002,アイクローゼット,クリアベージュコーラル,ECL0002クリアベージュコーラル,1day,"ベージュ,ピンク",14.5mm,13.8mm,ベージュ,1
TRUE,TRUE,OK,-,ECL0073,jlb,302,PB,アイクローゼット,ゼリーベア,1month,"1,980",2,-8,14.5,13.8,8.7,47,"モイスト,UVカット,シリコーンハイドロゲル素材,8","モイスト,UVカット,シリコーンハイドロゲル素材",#8eb3c8,/Users/asano/Desktop/data_sample/Links/bundle_pb_monthly.jpg,https://drive.google.com/file/d/1dpt59GaHcNNItwXHpaQ8qaG6xffkN-N5/view?usp=drive_link,https://drive.google.com/file/d/1lMJWMv71Djx0TfuFX6zmB0unufWq-2qM/view?usp=drivesdk,https://drive.google.com/drive/folders/1Ss7iSJLp1INO2vGkGWGKnQEX1imH__az,https://drive.google.com/drive/folders/1HM1FwaqKwAXEuZNmCXe_62UaRQ7ATFgQ,/Users/asano/Desktop/data/Links/1month/アイクローゼット/ゼリーベア/thumbnail.jpg,/Users/asano/Desktop/data/Links/1month/アイクローゼット/ゼリーベア/lens.jpg,/Users/asano/Desktop/data/Links/1month/アイクローゼット/ゼリーベア/黒目/black.jpg,/Users/asano/Desktop/data/Links/1month/アイクローゼット/ゼリーベア/茶目/brown.jpg,https://static.growthpalette.com/img/post/59719452-c06c-4852-9ca9-dd13ad53a352/4cb349fe17d8ace5cb4dc9a0403c4056.jpg,https://static.growthpalette.com/img/post/e1b2cf39-6217-48f3-bd13-6e61acf3680f/fcbf56867c0d5d3ffc826065ffa43c52.jpg,度なし（±0.00）〜8.00,2箱_背景が水色,ECL0073ゼリーベア,ブラック,"じゅわじゅわデザインのダークブラウン！
唯一無二のかわいさ♡",じゅわじゅわデザインのダークブラウン！唯一無二のかわいさ🥺,ECL0002,アイクローゼット,さつまいも,ECL0002さつまいも,1day,パープル,14.5mm,13.8mm,パープル,1
TRUE,TRUE,OK,-,ECL0073,jlmc,303,PB,アイクローゼット,ゼリーモカ,1month,"1,980",2,-8,14.5,13.8,8.7,47,"モイスト,UVカット,シリコーンハイドロゲル素材,9","モイスト,UVカット,シリコーンハイドロゲル素材",#8eb3c8,/Users/asano/Desktop/data_sample/Links/bundle_pb_monthly.jpg,https://drive.google.com/file/d/1GR_5aW_bk7XMkmacmXf5x5S9guqKTE1W/view?usp=drive_link,https://drive.google.com/file/d/1q6Gv_tcsr5O_xZ0Ue3gjXkoIv4Wu2e2T/view?usp=drivesdk,https://drive.google.com/drive/folders/1yDeyDHpNx5XDFrCZUy_0McKC8w_X_nB6,https://drive.google.com/drive/folders/13jkQlxKyVGhu5Edv6apEzHNC4jFYW5GR,/Users/asano/Desktop/data/Links/1month/アイクローゼット/ゼリーモカ/thumbnail.jpg,/Users/asano/Desktop/data/Links/1month/アイクローゼット/ゼリーモカ/lens.jpg,/Users/asano/Desktop/data/Links/1month/アイクローゼット/ゼリーモカ/黒目/black.jpg,/Users/asano/Desktop/data/Links/1month/アイクローゼット/ゼリーモカ/茶目/brown.jpg,https://static.growthpalette.com/img/post/affb8003-9821-42d7-8b81-d4e9491f712e/8d57050fe9069b8492774df8d94c5ba8.jpg,https://static.growthpalette.com/img/post/2807f335-7e38-47ed-ac93-9216f79294f9/af38aaedbeec2eea2dd8af721537b768.jpg,度なし（±0.00）〜9.00,2箱_背景が水色,ECL0073ゼリーモカ,ブラウン,大きめだけど裸眼に馴染むからバレにくい！,大きめだけど裸眼に馴染むからバレにくい！,ECL0001,アイクローゼット,さつまいも,ECL0001さつまいも,1month,パープル,14.5mm,13.8mm,パープル,1
TRUE,TRUE,OK,-,ECL0002,gch,401,PB,アイクローゼット,ガウスショコラ,1day,"1,760",10,-10,14.5,13.8,8.6,38,"モイスト,UVカット,8","モイスト,UVカット",#d489ab,/Users/asano/Desktop/data_sample/Links/bundle_pb_oneday.jpg,https://drive.google.com/file/d/1OAfpSS0io3EQo6vepqdhjv6GNIfP3wA8/view?usp=drivesdk,https://drive.google.com/file/d/1y0K7RRPL4_8YX-n3qVLHZ5cp6wwCc-JQ/view?usp=drivesdk,https://drive.google.com/drive/folders/1ItxtDmL-pispXx6CIp_h96PhhsfyqXcB,https://drive.google.com/drive/folders/1tnpv_L8uUPxjUNz9b4DDfH3LPs_d04iR,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ガウスショコラ/thumbnail.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ガウスショコラ/lens.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ガウスショコラ/黒目/black.jpg,/Users/asano/Desktop/data/Links/1day/アイクローゼット/ガウスショコラ/茶目/brown.jpg,https://static.growthpalette.com/img/post/819f22b3-f4d3-4760-aec2-743cb381a985/bee97f3b9c7a3376161549801277303f.jpg,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/SP/thumb/ECL0002-GCH-4.jpg,度なし（±0.00）〜8.00,3箱_背景ピンク,ECL0002ガウスショコラ,ブラウン,"くりっと盛れる甘々カラコン♡
アイドルちゃんのメイクレシピでも話題に！",最強アイドルフェイスになれる鬼リピカラコン,ECL0002,アイクローゼット,しずく,ECL0002しずく,1day,"グリーン,オリーブ",14.5mm,13.8mm,グリーン,1
