単語帳OK,着画含めてOK,最終ステータス,販売ステータス,元品番,カラーCD,品番,PB,ブランド名（カナ）,カラー名（カナ）,装用期間（英語）,上代（税込）,入数,最大度数,DIA（半角英数）,G・DIA（半角英数）,BC（半角英数）,含水率,レンズ機能,,メイン背景色,バンドル画像,サムネ画像,レンズ画像,装用画像（黒目）,装用画像（茶目）,サムネマスター,レンズマスター,度なし（±0.00）,バンドル,コメント（列幅からはみ出ないように）幅290,"発注数
-10.00/-9.00/-8.00/-6.00は12枚、
それ以外は8枚","ランキングコーナーに入れるもの
サムネのみ12cm×12cmで印刷 / 商品カード＋6枚",_row_number,reason
TRUE,TRUE,-,新色,,,0402,PB,アイクローゼット,カミナリパープル,1day,"1,760",10,0.00,14.5,13.8,8.6,38.0,"モイスト,UVカット,8",他社_monthly,#d489ab,/Users/asano/Desktop/data_sample/Links/bundle_pb_oneday.jpg,,https://drive.google.com/file/d/1utZlibD7NX3t7sbrtFX-aQe4lEPuohHH/view?usp=drive_link,https://drive.google.com/drive/folders/1XA2ZXRPs2QdKPJSg20h6BoyrupFdYegX?usp=drive_link,https://drive.google.com/drive/folders/1LAxyklcUDeA1w8_omaTIjRSVfOZRlTO4?usp=drive_link,,,度なし（±0.00）〜8.00,3箱_背景ピンク,"高発色なのにうるっとしたおめめになれる！
メンカラ紫のオタクはコレ♡",18,1,12,missing_required
TRUE,TRUE,-,新色,,,0410,PB,アイクローゼット,ツクヨミブルー,1day,"1,760",10,0.00,14.5,13.8,8.6,38.0,"モイスト,UVカット,8",,#d489ab,/Users/asano/Desktop/data_sample/Links/bundle_pb_oneday.jpg,,https://drive.google.com/file/d/1Enoo0-K0oxLE16DyFZLXHdIcv8QFJt1O/view?usp=sharing,https://drive.google.com/drive/folders/1UQaPyAGYkoWjmvf21SyLJRix51drydOa?usp=drive_link,https://drive.google.com/drive/folders/1nKkIoFYWkv3EqhU7JRHvih_s5caY-X5U?usp=drive_link,,,度なし（±0.00）〜8.00,3箱_背景ピンク,"サブカル系に激推ししたい！
映えまくる高発色ブルー",18,1,20,missing_required
TRUE,TRUE,,新色,,,0416,PB,アイクローゼット,マカロニベージュ,1day,"1,760",10,0.00,14.5,13.8,8.6,38.0,"モイスト,UVカット,8",,#d489ab,/Users/asano/Desktop/data_sample/Links/bundle_pb_oneday.jpg,,https://drive.google.com/file/d/1gvv-9bnb0OU-hwNkDCm-m7Rvip0L0_ML/view?usp=drive_link,https://drive.google.com/drive/folders/1NSImfTAPDnxUO5FtJ5JwXUN1VqVGgCpC?usp=drive_link,https://drive.google.com/drive/folders/1HCMxn_E6lYg0koMtJFORC0z5h27o1yzJ?usp=drive_link,,,,3箱_背景ピンク,"ふわふわミルキーなベージュが可愛すぎる♡
黒目さんでもしっかり発色◎",18,なし,26,missing_required
TRUE,TRUE,-,新色,,,2003,PB,ハニードロップス,メルブランカ,1day,"1,760",10,-8.00,14.5,13.9,8.7,47.0,"モイスト,UVカット,8,シリコーンハイドロゲル素材",,#d489ab,/Users/asano/Desktop/data_sample/Links/bundle_pb_oneday.jpg,,https://drive.google.com/file/d/1h1EY4Jl75sCwQW2oBIGt_Jl9FliFFrkB/view?usp=drive_link,https://drive.google.com/drive/folders/1UHKFMrVHsMoERfzGHipRf2ZLzsVZxx_L?usp=drive_link,https://drive.google.com/drive/folders/1cWL8vPA8E-sVx812rA3s3UpmDRCroONk?usp=drive_link,,,度なし（±0.00）〜8.00,3箱_背景ピンク,"ほんのり青みを感じるような
馴染む儚いグレーちゅるん♡",18,1,121,missing_required
TRUE,TRUE,-,新色,,,2005,PB,ハニードロップス,メルリウム,1day,"1,760",10,-8.00,14.5,13.9,8.7,47.0,"モイスト,UVカット,8,シリコーンハイドロゲル素材",,#d489ab,/Users/asano/Desktop/data_sample/Links/bundle_pb_oneday.jpg,,https://drive.google.com/file/d/1w1BsO9VxGZ9Rg0RNG7iPvMhO5xIH916k/view?usp=drive_link,https://drive.google.com/drive/folders/1zn33VVo0SwCch3r1R5PI0z1EHnGTwImj?usp=drive_link,https://drive.google.com/drive/folders/1eDwGPdc12wQZB4HOIlzo-IGOzm6MRRe4?usp=drive_link,,,度なし（±0.00）〜8.00,3箱_背景ピンク,"太フチ×青コン×透け感なんて可愛いに決まってる
ぎょろっとしないドーリー感",18,1,123,missing_required
TRUE,TRUE,-,新色,,,2705,PB,ミューム,リフレイン,1day,"1,760",10,0.00,14.0,13.2,8.7,47.0,"モイスト,UVカット,8,シリコーンハイドロゲル素材",,#d489ab,/Users/asano/Desktop/data_sample/Links/bundle_pb_oneday.jpg,,https://drive.google.com/file/d/1ZZ11fzlixBpXo4p3rzkT_Hks_mDKnbG4/view?usp=drive_link,https://drive.google.com/drive/folders/1sQgfxKER3w1ne8ornl7JRHTSbx0PfZeL?usp=drive_link,https://drive.google.com/drive/folders/1bw-S0YFShdHWoZ3BHGy4h_idmLuAK8Nz?usp=drive_link,,,度なし（±0.00）〜8.00,3箱_背景ピンク,"バレないわけではないけどバレにくそう！
透明感×盛り×ナチュラルの共存✨️",18,1,165,missing_required
TRUE,TRUE,OK,,CM0009,nobr,4491,他社,シークレットキャンディーマジック,NO.3ブラウン,1month,"1,650",2,0.00,14.5,14.1,8.8,38.0,8,,#a08061,,,https://drive.google.com/file/d/1BIbovR9Q71AWFhNMpfvvlhxPqQdtjYQi/view?usp=drivesdk,https://drive.google.com/drive/folders/1Wrt6tIQSn65mKw_-EnNh1nt5pQbD-WIa,https://drive.google.com/drive/folders/1TYdbFjdnij0TPBLnjRGaSbsKCwf2N0tG,https://static.growthpalette.com/img/post/1b96d558-e2b2-4b7f-b56f-ba4d4ff8ba7b/a7c909ce3b851d3b7e39a8bcf1bfacee.jpg,https://static.growthpalette.com/front/assets/hl2/img/search-contact-lens/image/data/item/SP/thumb/CM0009-NOBR-4.jpg,度なし（±0.00）〜8.00,,王道太フチブラウン♡迷ったらコレ,18,なし,333,missing_required
TRUE,TRUE,-,坂田さん確認中,,,4702,他社,ラルム,トリュフモカ,1day,"1,760",10,0.00,14.2,13.4,8.7,58.0,"モイスト,UVカット",,#c9d3d7,,https://drive.google.com/file/d/1A1Z-o8Yocoyr1rjEPtTXAF4vHUv0nE7P/view?usp=drive_link,https://drive.google.com/file/d/1wbKx5vxbbubYn4n6j_FtDyp019nCWd1v/view?usp=drive_link,https://drive.google.com/drive/folders/1yYq5ukcn9RiIDyTm0EIpBdAJXZ29UDZi?usp=drive_link,https://drive.google.com/drive/folders/1_r-JECOri_KnIQhMurZU-ccp4GksmTJx?usp=drive_link,,,度なしのみ,,"ブラックのぼかしフチで裸眼っぽく！
裸眼大きい方ならバレなそう",18,なし,541,missing_required
TRUE,TRUE,-,坂田さん確認中,,,4704,他社,ラルム,はちみつバウム,1day,"1,760",10,0.00,14.5,14.0,8.6,58.0,"モイスト,UVカット",,#c9d3d7,,https://drive.google.com/file/d/1Z0MJpWKMnPPYPnY_ChbNCK9hFOUds3O1/view?usp=drive_link,https://drive.google.com/file/d/18LWaDTJFT9i2Qf-hGRLBX9EB_hcXXCMi/view?usp=drive_link,https://drive.google.com/drive/folders/1T571elrQ8uiqj4mLf3lFGfbNCtp68kZQ?usp=drive_link,https://drive.google.com/drive/folders/1dIzx93ihoZV7G478ck-HdQlltxvC6N7r?usp=drive_link,,,度なしのみ,,"ばっっっちり盛りたい人に！
鬼出目に見えるから奥目さん大歓喜",18,なし,542,missing_required
TRUE,TRUE,-,坂田さん確認中,,,4706,他社,ラルム,ピンクチュール,1day,"1,760",10,0.00,14.5,13.8,8.6,58.0,"モイスト,UVカット",,#c9d3d7,,https://drive.google.com/file/d/1pmUjuYyhM7IIkf5KFvKGHX1eAjHZa6H0/view?usp=drive_link,https://drive.google.com/file/d/1qZYQ3Qi_zqj6pdgU3aq7v4SZknhoIej5/view?usp=drive_link,https://drive.google.com/drive/folders/1WT9P1TZn7XERe4dxIuyuc1AhvdI2OUwq?usp=drive_link,https://drive.google.com/drive/folders/1UuxZ_LOyjhn7MF5VXMiu5hh6R-Muf-RU?usp=drive_link,,,度なしのみ,,"意外にも色味がわかる明るめカラコン！
派手すぎずにトーンアップ☆ミ",18,なし,543,missing_required
TRUE,TRUE,-,坂田さん確認中,,,4709,他社,ラルム,ミルキーウェイ,1day,"1,760",10,0.00,14.2,13.6,8.7,58.0,"モイスト,UVカット",,#c9d3d7,,https://drive.google.com/file/d/1V6IJxvA2XivQOU6d5N6ednOwSwqumRoT/view?usp=drive_link,https://drive.google.com/file/d/1oEInwUrVTuhpkRbJl1XgiTunRF4TZ-JD/view?usp=drive_link,https://drive.google.com/drive/folders/1a5PAEhJRXldWNiWa84--8mzcNQRk2fB5?usp=drive_link,https://drive.google.com/drive/folders/1trp53-Ee5IQDnvNGdOX1dp_wXUkFjNyP?usp=drive_link,,,度なしのみ,,"ふんわりしつつ透明感も♡
簡単にあか抜けできます！",18,なし,544,missing_required
TRUE,TRUE,-,坂田さん確認中,,,4711,他社,ラルム,メルティリング,1day,"1,760",10,0.00,14.2,13.2,8.7,58.0,"モイスト,UVカット",,#c9d3d7,,https://drive.google.com/file/d/1EpzXrYqwGImYJTsxjkdr3MdV0eMfuFyr/view?usp=drive_link,https://drive.google.com/file/d/1bdxmAHYIjB8jtCqptAtje5l8_qHqYBBm/view?usp=drive_link,https://drive.google.com/drive/folders/1zih5fjLcbRpOcH0xYiT-TUQaupDF8Vew?usp=drive_link,https://drive.google.com/drive/folders/1z3YAlYvnE5uhpzNxmljeYoY_qHEM1Azv?usp=drive_link,,,度なしのみ,,"ちょぴっと盛れるけどカラコンすぎず♡
わがままが叶うレンズ！",18,なし,545,missing_required
TRUE,TRUE,-,坂田さん確認中,,,4712,他社,ラルム,クッキークリーム,1month,"1,650",2,0.00,14.5,14.0,8.6,38.0,UVカット,,#a08061,,https://drive.google.com/file/d/1X-BbJgGwp5x5d59D1QNntYf6JWIvlWFN/view?usp=drive_link,https://drive.google.com/file/d/1s9oLUpJS3dh8CHLORkKP0s428Hn1LpUY/view?usp=drive_link,https://drive.google.com/open?id=1Ppz1_tC9-5JSMg91FOSdeJLtjKAHd7dG&usp=drive_copy,https://drive.google.com/open?id=1VnKwqeq3tfpl8TtzUgBEAVP8GPp4QiAj&usp=drive_copy,,,度なしのみ,,"白みがかなりつよい高発色グレー！
デカ目も発色も欲張れる！",18,なし,546,missing_required
