    "status","old_path","new_path"
    "A","docs/rename/rename_for_git.csv",""
    "R100","images/lens/0075_繧｢繧､繧ｯ繝ｭ繝ｼ繧ｼ繝・ヨ 繧ｸ繝｣繝ｳ繝彑縺ｧ縺九％縺｣縺ｺ縺ｱ繧・jpg","images/lens/1601_繧｢繧､繧ｯ繝ｭ繝ｼ繧ｼ繝・ヨ_繧ｸ繝｣繝ｳ繝彑縺ｧ縺九％縺｣縺ｺ縺ｱ繧点1day_lens.jpg"
    "R100","images/lens/4401_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繧ｨ繝ｳ繝・ぅ繝ｳ繧ｰ 繧ｪ繝ｪ繝ｼ繝棒1day_lens.jpg","images/lens/4401_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繧ｨ繝ｳ繝・ぅ繝ｳ繧ｰ_繧ｪ繝ｪ繝ｼ繝棒1day_lens.jpg"
    "R100","images/lens/4403_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繧ｰ繝ｭ繝ｼ繧､ 繧｢繝・す繝･繧ｰ繝ｬ繝ｼ_1day_lens.jpg","images/lens/4403_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繧ｰ繝ｭ繝ｼ繧､_繧｢繝・す繝･繧ｰ繝ｬ繝ｼ_1day_lens.jpg"
    "R100","images/lens/4408_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繧ｷ繝｣繧､繝ｳ繧ｿ繝・メ 繝溘Ν繧ｭ繝ｼ繧ｰ繝ｬ繝ｼ_1day_lens.jpg","images/lens/4408_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繧ｷ繝｣繧､繝ｳ繧ｿ繝・メ_繝溘Ν繧ｭ繝ｼ繧ｰ繝ｬ繝ｼ_1day_lens.jpg"
"R100","images/lens/4410_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繝繝悶Ν繝・ぅ繝ｳ繝・繧ｰ繝ｬ繝ｼ_1day_lens.jpg","images/lens/4410_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繝繝悶Ν繝・ぅ繝ｳ繝・繧ｰ繝ｬ繝ｼ_1day_lens.jpg"
"R100","images/lens/4412_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繝√ぉ繝ｪ繝ｼ繝繝ｼ繝ｳ 繝悶Λ繧ｦ繝ｳ_1day_lens.jpg","images/lens/4412_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繝√ぉ繝ｪ繝ｼ繝繝ｼ繝ｳ_繝悶Λ繧ｦ繝ｳ_1day_lens.jpg"
"R100","images/lens/4413_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繝薙ャ繧ｰ繧ｰ繝ｭ繝ｼ繧､ 繧ｰ繝ｬ繝ｼ_1day_lens.jpg","images/lens/4413_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繝薙ャ繧ｰ繧ｰ繝ｭ繝ｼ繧､_繧ｰ繝ｬ繝ｼ_1day_lens.jpg"
"R100","images/lens/4417_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繝薙ン繝ｪ繝ｳ繧ｰ 繧ｰ繝ｬ繝ｼ_1day_lens.jpg","images/lens/4417_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繝薙ン繝ｪ繝ｳ繧ｰ_繧ｰ繝ｬ繝ｼ_1day_lens.jpg"
"R100","images/lens/4421_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繝繝ｼ繝峨リ繧､繝・繝繝ｼ繝峨げ繝ｬ繝ｼ_1day_lens.jpg","images/lens/4421_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繝繝ｼ繝峨リ繧､繝・繝繝ｼ繝峨げ繝ｬ繝ｼ_1day_lens.jpg"
"R100","images/lens/4425_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繝ｪ繧｢繝ｫ繝ｪ繝ｳ繧ｰ 繧ｰ繝ｬ繝ｼ_1day_lens.jpg","images/lens/4425_繧ｪ繝ｼ繝ｬ繝ｳ繧ｺ_繝ｪ繧｢繝ｫ繝ｪ繝ｳ繧ｰ_繧ｰ繝ｬ繝ｼ_1day_lens.jpg"
"R100","images/lens/4473_繧ｷ繝ｼ繧ｯ繝ｬ繝・ヨ繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_NO.14繝倥・繧ｼ繝ｫ_1day_lens.jpg","images/lens/4473_繧ｷ繝ｼ繧ｯ繝ｬ繝・ヨ繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_no.14繝倥・繧ｼ繝ｫ_1day_lens.jpg"
"R100","images/lens/4474_繧ｷ繝ｼ繧ｯ繝ｬ繝・ヨ繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_NO.1繝√Ι繧ｳ繝ｬ繝ｼ繝・1day_lens.jpg","images/lens/4474_繧ｷ繝ｼ繧ｯ繝ｬ繝・ヨ繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_no.1繝√Ι繧ｳ繝ｬ繝ｼ繝・1day_lens.jpg"
"R100","images/lens/4475_繧ｷ繝ｼ繧ｯ繝ｬ繝・ヨ繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_NO.3繝悶Λ繧ｦ繝ｳ_1day_lens.jpg","images/lens/4475_繧ｷ繝ｼ繧ｯ繝ｬ繝・ヨ繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_no.3繝悶Λ繧ｦ繝ｳ_1day_lens.jpg"
"R100","images/lens/4476_繧ｷ繝ｼ繧ｯ繝ｬ繝・ヨ繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_NO.5繝悶Λ繝・け_1day_lens.jpg","images/lens/4476_繧ｷ繝ｼ繧ｯ繝ｬ繝・ヨ繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_no.5繝悶Λ繝・け_1day_lens.jpg"
"R100","images/lens/4477_繧ｷ繝ｼ繧ｯ繝ｬ繝・ヨ繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_NO.6繝悶Λ繧ｦ繝ｳ_1day_lens.jpg","images/lens/4477_繧ｷ繝ｼ繧ｯ繝ｬ繝・ヨ繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_no.6繝悶Λ繧ｦ繝ｳ_1day_lens.jpg"
"R100","images/lens/4478_繧ｷ繝ｼ繧ｯ繝ｬ繝・ヨ繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_NO.9繝悶Λ繧ｦ繝ｳ_1day_lens.jpg","images/lens/4478_繧ｷ繝ｼ繧ｯ繝ｬ繝・ヨ繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_no.9繝悶Λ繧ｦ繝ｳ_1day_lens.jpg"
"R100","images/lens/4515_繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_繝溘Α繧ｰ繝ｬ繝ｼ_1day_lens.jpg","images/lens/4528_繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_繝溘Α繧ｰ繝ｬ繝ｼ_1month_lens.jpg"
"R100","images/lens/4519_繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_繝｡繝ｭ繝悶Λ繧ｦ繝ｳ_1day_lens.jpg","images/lens/4531_繧ｭ繝｣繝ｳ繝・ぅ繝ｼ繝槭ず繝・け_繝｡繝ｭ繝悶Λ繧ｦ繝ｳ_1month_lens.jpg"
"R100","images/lens/4533_繝輔ぃ繝薙Η繝ｩ繧ｹ_NO.3繝悶Λ繧ｦ繝ｳ_1month_lens.jpg","images/lens/4533_繝輔ぃ繝薙Η繝ｩ繧ｹ_no.3繝悶Λ繧ｦ繝ｳ_1month_lens.jpg"
